#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability,Readability Manual
1,6.73,0.5547566112,2,88,Good,27.04,4
2,2.04,0.6122807018,2,113,Medium,34.56,0
3,1.48,0.5611111111,3,106,Very Bad,29.76,1
4,5.71,0.4036281456,2.2,91,Medium,29.67,2
5,4.91,0.5640350877,32,143,Medium,32.37,3
6,0,0.525,0,81,Medium,25.03,4
7,6.31,0.6179824561,2.846153846,114,Good,27.31,2
8,8.51,0.4491385758,7,108,Medium,30.66,1
9,5.18,0.6316666667,4.5,98,Medium,29.36,2
10,2.67,0.64,0,244,Medium,35.91,3
11,6.53,0.452503399,2.363636364,89,Medium,42.99,2
12,7.19,0.4255223509,3.4,205,Medium,38.29,1
13,6.45,0.5923076923,2.6,100,Medium,31.04,1
14,0,0.6151515152,1,132,Good,29.95,2
15,0.42,0.4757780366,9.4,119,Medium,29.46,2
16,0,0.6452380952,3,84,Medium,30.1,0
17,5.83,0.4411511865,4,95,Medium,35.72,1
18,5.42,0.3730479577,5.444444444,141,Medium,31.32,3
19,4.19,0.3832039252,2.944444444,114,Medium,35.01,1
20,5.38,0.3813186813,2,222,Medium,35.35,1
21,0,0.5586013459,0,97,Good,27.54,0
22,6.23,0.5927536232,2.833333333,98,Good,31.03,2
23,1.9,0.5866666667,3.428571429,79,Medium,30.24,3
24,0,0.4038655844,6.803571429,258,Good,35.96,3
25,0,0.6916666667,4,108,Bad,26.7,3
26,4.92,0.6282608696,3.363636364,103,Medium,30.42,4
27,5.76,0.5055555556,2,97,Good,39.02,2
28,7.76,0.6254901961,4,134,Medium,26.29,2
29,7.7,0.6588235294,4.75,85,Medium,32.35,1
30,7.73,0.6461538462,6,73,Medium,39.41,2
31,0,0.5947368421,16,84,Medium,28.34,0
32,1.58,0.6416666667,0,107,Very Bad,25.29,4
33,5.36,0.4981818182,0,132,Good,26.6,4
34,1.13,0.6226190476,3.222222222,289,Medium,34.17,2
35,0,0.6625,2.25,46,Very Bad,41.07,4
36,0,0.7333333333,0,14996,Medium,1954.38,0
37,5.23,0.479148489,0,120,Medium,33.63,1
38,5.67,0.5239583333,3.3,85,Medium,29.7,2
39,8.51,0.6533333333,4.5,94,Medium,28.57,1
40,7.05,0.5561939602,18,89,Medium,37.95,1
41,6.87,0.5795449985,18,97,Medium,38.41,1
42,0,0,0,49890,Medium,4192.17,0
43,7.17,0.3712772763,3.237288136,128,Medium,33.71,1
44,7.35,0.6119047619,2.6,97,Medium,27.94,3
45,0,0.4579843828,2.142857143,167,Medium,28.95,1
46,6.03,0.3776477633,2.045454545,146,Medium,32.38,1
47,5.79,0.5591397849,3.071428571,83,Medium,30.3,1
48,0,0.6922222222,0,73,Good,31.76,1
49,7.67,0.4303915142,3,105,Medium,30.77,2
50,6.27,0.6021929825,2,128,Medium,36.54,3
51,7.35,0.5421033643,4.166666667,166,Good,31.13,3
52,4.67,0.5255555556,1.833333333,80,Medium,27.53,3
53,2.67,0.65,0,77,Medium,28.85,2
54,0,0.687037037,10,93,Medium,31.34,2
55,5,0.4878265509,9,115,Medium,30.49,2
56,8.52,0.7128205128,1.5,92,Medium,41.04,1
57,2.5,0.5302083333,3,79,Medium,32.98,3
58,0,0.5656862745,0,97,Medium,31.89,3
59,5.29,0.669047619,5,80,Medium,29.64,1
60,6.07,0.6,3.5,85,Medium,28.1,3
61,4.24,0.5455555556,1,166,Good,28.73,4
62,4.95,0.3936571055,3.236842105,126,Medium,30.89,3
63,8.75,0.6060606061,2,71,Medium,29.68,1
64,0.95,0.4787040586,1.1,78,Medium,29.06,2
65,6,0.6315789474,4,85,Good,29.16,4
66,0,0.595,1,80,Very Bad,19.15,2
67,9.03,0.4724889278,3.736842105,94,Medium,42.93,4
68,6.5,0.3722430941,3.62745098,117,Medium,32.35,4
69,3.8,0.4455649585,2.80952381,185,Medium,31.64,3
70,0,0.600877193,3.6,102,Good,29.91,3
71,7.39,0.5942424242,4.166666667,135,Medium,27.82,3
72,7.67,0.4844949213,4.074074074,85,Medium,33.04,3
73,7.39,0.514100055,4.5,84,Medium,28.95,2
74,0,0.4347222222,3.5,109,Medium,30.43,2
75,9.01,0.3928035745,6.933333333,100,Medium,30.26,3
76,7.94,0.3874819961,1.741071429,102,Medium,35.27,4
77,8,0.6804334653,0,92,Good,28.23,0
78,6.69,0.6305555556,2,122,Medium,30.59,1
79,0,0.4933661776,8.461538462,228,Medium,30.2,3
80,0,0.3816823989,7,162,Medium,32.18,3
81,2.5,0.7083333333,0,80,Very Bad,34.31,1
82,0.3,0.6413978495,1,178,Good,29.49,2
83,6.94,0.4983754703,2.25,96,Medium,28.61,2
84,4.88,0.6307407407,5.142857143,126,Bad,25.29,1
85,6.25,0.6293103448,2,92,Medium,28.59,3
86,8,0.6833333333,0,76,Bad,22.02,4
87,?,0.504116615,3.333333333,199,Medium,32.18,3
88,7.62,0.4303915142,2.909090909,106,Medium,30.81,2
89,6.98,0.5358845261,2,114,Medium,32.39,2
90,?,0.5284090909,2,120,Very Bad,28.77,0
91,?,0.504116615,3.333333333,199,Medium,32.18,1
92,0,0.7018518519,1,78,Medium,29.65,1
93,6.88,0.5795449985,18,91,Medium,37.84,1
94,6.25,0.55,0,240,Medium,36.99,1
95,8.28,0.6273809524,0,68,Medium,26.24,1
96,4.24,0.5384615385,1.8,91,Medium,27.37,2
97,5.81,0.5531776357,0,95,Medium,33.4,2
98,6.67,0.6892857143,0,87,Medium,29.89,2
99,7.5,0.5958333333,0,61,Medium,27.95,4
100,6.06,0.5184839905,7,140,Bad,28.49,3
101,7.45,0.6430555556,1,118,Good,30.61,3
102,8.4,0.4023174266,4.25,116,Medium,33.82,2
103,4.73,0.6138888889,3.142857143,319,Medium,38.36,2
104,0,0.6016666667,2.333333333,80,Bad,25.98,4
105,7.95,0.4151550752,5.244897959,119,Medium,31.74,1
106,1.69,0.481547619,3.142857143,89,Medium,30.76,2
107,2.44,0.6166666667,5.666666667,79,Medium,29.35,2
108,0.83,0.6666666667,0,82,Very Bad,19.53,1
109,9.13,0.3507160923,2.489361702,93,Medium,28.43,2
110,5.04,0.562745098,3.538461538,124,Medium,30.33,3
111,?,0.5284090909,2,120,Very Bad,28.77,0
112,0,0.601010101,0,118,Medium,32.51,0
113,6.42,0.4685660185,3.928571429,91,Medium,31.32,3
114,0,0.5791789434,1,113,Bad,32.54,1
115,5.11,0.5873015873,6.5,129,Good,32.91,3
116,5.46,0.4193485985,2.222222222,97,Medium,29.45,1
117,6,0.6555555556,4,91,Medium,30.15,1
118,0,0.6166666667,2.5,87,Medium,32.87,0
119,1.9,0.65,0,76,Bad,24.06,1
120,5.77,0.67,0,119,Medium,46.95,2
121,5.19,0.5930555556,1,74,Medium,28.67,2
122,0,0.6680555556,1.3,68,Medium,44.85,0
123,0,0.5583333333,0,110,Very Bad,39.62,0
124,7.45,0.3876020292,2.666666667,117,Medium,32.45,3
125,?,0.6614942529,15,121,Medium,37.03,0
126,?,0.5,11,80,Medium,30.28,0
127,5.45,0.6222222222,0,88,Medium,34.36,4
128,0,0.625245098,12.27272727,255,Good,31.39,0
129,3.74,0.3809381529,4.333333333,89,Medium,29.91,3
130,0,0.65,0,76,Medium,24.66,1
131,2.88,0.5787037037,4,112,Medium,28.33,2
132,0.67,0.6441666667,3.5,132,Good,35.7,1
133,0,0.6166666667,1.4,68,Medium,27.69,0
134,0,0.5357142857,1,93,Medium,32.72,0
135,0,0.3666189724,15.54545455,132,Medium,31.51,0
136,6.82,0.6264880952,3.6,87,Medium,30.82,3
137,6.62,0.6476190476,4,82,Good,28.42,2
138,5.23,0.4977266098,11.5,147,Good,31.36,2
139,0,0.4939838362,2.230769231,142,Medium,32.06,3
140,5.59,0.5083333333,1.6,83,Medium,30.94,0
141,0,0.5317374808,1.6,86,Medium,32.26,1
142,6.89,0.5205128205,5,98,Medium,31.4,1
143,0,0.6833333333,1,87,Good,33.69,0
144,5.96,0.7083333333,4,192,Good,73.77,1
145,0.43,0.5760416667,2.2,83,Medium,28.86,1
146,3.55,0.5350574713,8.5,88,Medium,32.1,1
147,0.64,0.5616666667,1.157894737,128,Medium,32.44,2
148,?,0.6071428571,1.111111111,69,Medium,28.38,2
149,7.23,0.3725594236,1.121212121,246,Good,31.72,4
150,0,0.4892156863,2,66,Medium,29.23,0
151,0,0.5866666667,2,132,Medium,35.02,0
152,1.33,0.5462121212,0,81,Very Bad,16.35,2
153,8.16,0.5122957533,3.625,96,Medium,39.08,4
154,3.33,0.5691256831,7.083333333,175,Good,32.8,4
155,0,0.6333333333,0,46,Medium,26.86,0
156,6.56,0.2878165813,7.357142857,213,Good,30.04,2
157,7.53,0.6462962963,4,85,Medium,25.5,2
158,6.63,0.5492753623,3.25,80,Medium,30.43,1
159,6.12,0.6185897436,5.5,103,Medium,36.63,3
160,0,0.7166666667,2,89,Very Bad,25.08,0
161,5.63,0.3934813672,2.24,128,Medium,28.96,1
162,8,0.4473333333,2,240,Medium,30.47,4
163,5.67,0.6208333333,2.666666667,81,Very Bad,23.56,2
164,0.59,0.5955555556,2.25,102,Medium,29.61,1
165,6.67,0.666,1.75,128,Very Bad,25.06,0
166,0,0.6143410853,2,112,Medium,32.9,0
167,0,0.4911918568,1,78,Very Bad,22.07,4
168,0,0.5867424242,2,193,Bad,32.12,4
169,0,0.6019479307,10,101,Medium,29.05,0
170,0,0.585,5,139,Medium,30.38,4
171,7.14,0,1,83,Very Bad,22.39,0
172,0,0.5746765111,2,88,Medium,31.72,0
173,0,0.4951425356,5.5,127,Good,35.07,3
174,7.14,0.3384300948,2.379310345,81,Medium,30.22,2
175,7.27,0.5706349206,0,91,Medium,28.31,3
176,3.4,0.6214285714,5.5,161,Medium,29.09,1
177,0,0.6357142857,43,116,Medium,30.78,1
178,2.58,0.3880020769,1.967741935,130,Medium,32.4,3
179,?,0.2848905928,2.44,202,Medium,33.67,0
180,2.2,0.4393939394,2.8125,123,Medium,43.57,1
181,1.83,0.5318657931,3.714285714,139,Medium,34.33,4
182,7.86,0.5680555556,1.25,97,Very Bad,23.04,2
183,3.53,0.594047619,2,107,Medium,30.53,1
184,2.35,0.6104166667,9,102,Medium,33.1,1
185,1.67,0.5407407407,2.333333333,80,Good,27.24,4
186,7.34,0.2899371691,2.276595745,79,Good,27.37,4
187,0.77,0.4416666667,1.25,102,Medium,33.48,0
188,7.32,0.6277777778,0,82,Medium,29.72,0
189,5.38,0.5696078431,10.5,110,Medium,31.58,0
190,1.58,0.6105691057,7,141,Medium,35.22,1
191,0,0.65,1.5,94,Medium,29.41,0
192,6.64,0.2684996656,12.7,159,Medium,35.91,3
193,4.64,0.3021698053,7.666666667,98,Medium,31.62,1
194,9.63,0.5525,4,80,Medium,28.78,4
195,4.69,0.6571428571,8,85,Medium,30.3,3
196,5.87,0.3585374776,9.470588235,148,Good,33.64,4
197,3.79,0.5084221476,1,109,Good,45.02,4
198,0,0.6125,6,151,Medium,37.64,1
199,4.3,0.5392953603,1.166666667,126,Medium,41.87,2
200,2.69,0.6269495322,1.25,90,Medium,39.38,2
201,7.86,0.4783333333,10.33333333,182,Good,38.71,3
202,6,0.5154541272,3.25,262,Medium,33.72,2
203,0,0.3555555556,1.25,79,Medium,30.22,4
204,4.92,0.6037878788,1.8,76,Good,35.59,2
205,2.31,0.73,4.5,118,Medium,51.02,4
206,9.5,0.6526315789,4,85,Good,28.27,4
207,3.1,0.6266666667,4,98,Medium,36.88,0
208,6.1,0.5090909091,2.428571429,107,Very Bad,27.37,4
209,0,0.62,0,134,Medium,34.62,1
210,0,0.5839506173,3.25,109,Good,29.45,2
211,4.59,0.5804347826,2.583333333,171,Medium,37.66,2
212,3.38,0.6137254902,3.857142857,88,Medium,39.63,2
213,0,0.5018518519,5,105,Medium,37.43,0
214,7.67,0.3427592799,2.181818182,89,Medium,31.82,3
215,0,0.6229166667,1,133,Medium,42.75,0
216,?,0.5595238095,2.333333333,93,Medium,38.87,0
217,0,0.5055555556,2,93,Medium,30.37,4
218,0,0.5120940275,4.181818182,101,Medium,36.93,0
219,2.44,0.5388888889,1.2,78,Good,28.09,4
220,3.26,0.6245614035,2.8,153,Good,35.44,1
221,0,0.604726374,2.468085106,159,Medium,32.94,2
222,8.38,0.5011111111,2.416666667,118,Medium,34.52,4
223,0,0.6916666667,0,91,Bad,23.26,4
224,8.24,0.4248244124,2.049382716,119,Medium,38.01,4
225,0,0.575,1.5,222,Medium,33.68,2
226,0,0.4523778805,6,237,Medium,32.2,2
227,7.95,0.38161345,2.625,80,Medium,28.93,2
228,5,0.4727363719,1,67,Medium,28.02,1
229,5.16,0.6380952381,3.6,137,Medium,33.7,2
230,0,0.6449275362,15.5,120,Medium,38.47,0
231,3.56,0.5627118644,1.666666667,149,Good,43.9,2
232,6.17,0.605982906,2.2,200,Good,38,1
233,8.08,0.3812144874,6.333333333,88,Medium,33.17,2
234,0,0.5574074074,1,159,Medium,32.04,0
235,0,0.7416666667,0,113,Medium,28.67,0
236,6.25,0.625,3,122,Medium,29.81,2
237,0,0.751498457,15,171,Medium,32.19,0
238,6.86,0.6155555556,3.666666667,107,Good,31.74,4
239,6.56,0.5583333333,4,87,Medium,32.64,4
240,3.82,0.5398637752,1.894736842,89,Medium,31.52,2
241,0,0.5520833333,4.612903226,94,Good,29.71,4
242,4.05,0.3599765038,1.428571429,108,Good,32.07,4
243,7.84,0.5009803922,2,120,Medium,31.35,3
244,4.02,0.4764813649,3.214285714,90,Medium,44.52,2
245,0,0.5156925111,2.714285714,98,Medium,29.45,0
246,0,0.3672807424,1.45,132,Medium,34.98,3
247,6.85,0.4084950799,4.142857143,122,Medium,30.82,4
248,5.38,0.6766666667,0,89,Medium,31.75,0
249,5.55,0.4989130435,2.333333333,253,Good,43.29,2
250,0,0.601010101,0,118,Medium,32.51,0
251,0,0.4419667048,1.285714286,109,Good,29.5,1
252,0,0.616025641,0,119,Medium,32.98,0
253,5.75,0.5384057971,2.12,165,Medium,33.06,1
254,5.44,0.5702380952,11,150,Medium,30.26,1
255,5,0.4846153846,3,82,Medium,30.36,2
256,1.18,0.6394848118,4.5,95,Medium,62.01,4
257,0.08,0.3309469585,4,162,Good,32.93,2
258,5,0.64,2.5,104,Medium,30.15,0
259,0,0.5634920635,1,92,Medium,32.49,1
260,6.29,0.3793416204,4.5,120,Medium,41.95,2
261,?,0.3684849303,1.571428571,93,Medium,42.04,4
262,0,0.5501541028,4,128,Medium,31.46,1
263,?,0.5858974359,14,147,Good,39.97,4
264,6.04,0.2354149584,5.583333333,147,Medium,35.77,0
265,0,0.6222222222,1.2,101,Bad,26.33,2
266,0.9,0.5394097222,3.487179487,175,Medium,42.16,1
267,0,0.6055555556,3,135,Medium,31.74,3
268,0,0.6166666667,4.5,172,Medium,36.05,1
269,2.49,0.4315822968,6.095238095,120,Medium,31.66,1
270,0,0.6055555556,11,60,Medium,27.64,3
271,2.55,0.6238095238,3.2,124,Medium,34.42,1
272,0,0.3780624579,7,139,Medium,30.72,0
273,0,0.6095238095,1,176,Very Bad,30.56,4
274,5.76,0.5796969697,2.655172414,114,Medium,38.83,4
275,0,0.6930555556,4,93,Medium,27.92,0
276,1.92,0.5666666667,1.666666667,110,Medium,31.25,0
277,4.81,0.5721721653,2,77,Medium,32.8,2
278,0,0.5260225231,1.666666667,97,Medium,34.58,1
279,7.31,0.2904820145,3.194029851,120,Medium,33.67,2
280,4.25,0.4219298246,3.714285714,274,Medium,38.23,0
281,8.42,0.5,1.75,88,Medium,32.58,4
282,4.2,0.350918129,1.388888889,112,Medium,35.26,2
283,0,0.5880952381,4,98,Medium,29.08,0
284,0,0.62,1,267,Medium,44.12,0
285,0,0.5732142857,0,45,Medium,28.51,0
286,7.21,0.5534013605,2.538461538,89,Medium,30.31,2
287,8.18,0.6518697868,2,75,Medium,25.6,2
288,0,0.6259259259,3,120,Medium,33.23,1
289,7.33,0.6097222222,3.625,129,Good,28.99,2
290,4.64,0.4610769315,2,262,Bad,29.93,2
291,0,0.6493055556,1,171,Very Bad,28.15,2
292,?,0.3790099144,2.5,185,Medium,30.46,1
293,0,0.5772727273,1.5,89,Good,28.97,3
294,5,0.4844444444,2.25,88,Medium,30.29,3
295,0,0.5433333333,2.428571429,73,Medium,30.97,2
296,0,0.6192307692,7,105,Medium,31.21,0
297,4.44,0.7257575758,0,127,Bad,28.73,4
298,5.71,0.4036281456,2.2,91,Medium,29.67,3
299,7.91,0.4936487817,8,80,Bad,23.74,4
300,8.25,0.551754386,2.857142857,101,Medium,31.74,4
301,1.18,0.6433333333,1,263,Medium,38.55,3
302,0,0.6583333333,1.5,91,Medium,28.42,2
303,0,0.5822222222,1.25,103,Medium,32.31,1
304,0,0.6979166667,0,128,Bad,28.99,0
305,6.48,0.4427499622,25.4,220,Medium,34.06,3
306,7.04,0.5638418079,3.047619048,116,Medium,36.97,1
307,0,0.6398316142,1,90,Medium,31.51,2
308,2.63,0.3928401653,2.0625,157,Medium,33.41,1
309,8.27,0.318456297,4.4,100,Medium,28.95,2
310,7.3,0.4880952381,2.5,124,Medium,28.91,1
311,5.95,0.5905982906,1.172413793,110,Medium,30.21,4
312,5.82,0.5941176471,5.8,2381,Medium,34.27,3
313,0,0.5847222222,2,102,Medium,32.87,2
314,0,0.6666666667,1,75,Very Bad,16.73,3
315,0,0.5543478261,1,95,Very Bad,23.48,0
316,4.87,0.6126984127,6,127,Good,32.24,1
317,0,0.3093740246,1.142857143,81,Medium,29.44,4
318,0,0.6104166667,2.3,134,Medium,32.07,2
319,0,0.5740310078,0,138,Medium,28.29,4
320,3.77,0.6117283951,3.285714286,181,Good,33.62,1
321,0,0.4813570462,1.512195122,175,Medium,45.45,4
322,10,0.675776184,0,92,Good,28.13,0
323,0,0.3948266997,5.052631579,101,Medium,27.14,3
324,7.25,0.618115942,2.5,81,Medium,36.16,1
325,1.73,0.3355834462,4.5,84,Medium,29.16,4
326,7.33,0.4661350353,1.6875,115,Medium,29.81,0
327,6.88,0.6361111111,1,75,Very Bad,22.4,2
328,7.19,0.6163194444,2.733333333,80,Medium,29.78,1
329,0.98,0.6288888889,1.333333333,75,Medium,27.2,4
330,0,0.2666666667,1.5,152,Very Bad,25.43,2
331,0,0.4933333333,0,114,Medium,40.24,2
332,6.67,0.6534722222,3.333333333,87,Medium,29,3
333,6.76,0.6407407407,0,83,Medium,29,1
334,0,0.6261904762,5,268,Medium,32.95,0
335,5.87,0.5833333333,2.25,165,Medium,31.99,3
336,10,0.4397635242,4.666666667,93,Medium,30.69,4
337,0.64,0.5616666667,1.157894737,128,Medium,32.44,2
338,0,0.6479166667,2.8,69,Medium,29.45,4
339,8.33,0.5333333333,1,79,Very Bad,25.02,2
340,3.9,0.6285714286,10.5,99,Medium,46.34,4
341,?,0.5475490196,2.2,117,Medium,32.05,3
342,?,0.6071428571,1.111111111,69,Medium,28.38,2
343,8.75,0.5783333333,3.333333333,84,Medium,32.73,3
344,3.7,0.5763888889,2.5,82,Medium,34.33,4
345,8.37,0.6364341085,7.5,86,Medium,30.19,1
346,0,0.6019479307,10,101,Medium,29.05,1
347,0,0.7231481481,0,87,Good,36.93,2
348,0,0.7166666667,2,89,Very Bad,25.08,3
349,7.65,0.6,2,102,Medium,30.23,4
350,1.43,0.6145833333,2.5,152,Good,30.04,4
351,6.74,0.60625,20,73,Medium,29.27,2
352,9.23,0.4625,1.846153846,120,Medium,30.55,2
353,5.33,0.3870520993,1.375,88,Medium,30.05,3
354,0.83,0.5572916667,6.666666667,88,Medium,32.08,0
355,7.95,0.3812144874,6.333333333,88,Medium,33.17,4
356,0,0.5224637681,9,104,Medium,32.46,3
357,1.47,0.6166666667,5,120,Good,32.35,4
358,0,0.6479166667,2.8,69,Medium,29.45,4
359,6.62,0.6416666667,1.714285714,113,Medium,31.09,3
360,2.47,0.621875,2,120,Medium,31.31,1
361,0,0.5354166667,4.833333333,273,Good,48.84,2
362,3.57,0.3148886531,4.076923077,107,Medium,30.4,2
363,7.04,0.64,4.6,84,Very Bad,22.94,3
364,7.14,0.3282144992,1.217391304,126,Medium,32.6,0
365,0,0.5763157895,3.5,81,Bad,27.5,4
366,5.27,0.5201257862,1.305555556,113,Medium,28.7,1
367,3.18,0.5611111111,1.571428571,160,Very Bad,37.85,4
368,1.03,0.4614918955,2,79,Medium,30.12,2
369,0.26,0.615,3,79,Good,26.85,3
370,8.2,0.4711284932,2.704347826,118,Medium,41.91,3
371,0,0.5814814815,2.5,89,Medium,30.7,2
372,0,0.4325195728,3.375,81,Medium,31.51,2
373,0,0.6016666667,1.25,102,Medium,30.02,2
374,0,0.5858974359,5,143,Medium,31.02,3
375,2.59,0.64,1,72,Medium,30.92,0
376,0,0.5903508772,3.5,72,Medium,26.58,2
377,8,0.5586956522,4.9,87,Medium,29.15,2
378,8.06,0.5842592593,2,108,Medium,30.77,3
379,3.75,0.4986111111,2.6,116,Good,33.36,1
380,6.76,0.5769831327,1.2,68,Good,26.68,4
381,0,0.5722222222,2,89,Medium,37.9,1
382,9.09,0.5924242424,0,51,Medium,27.21,0
383,7.6,0.569047619,5,98,Good,28.28,2
384,5,0.5583333333,0,92,Medium,29.73,2
385,2.95,0.5420995671,2.194690265,124,Medium,30.89,2
386,1.67,0.6224306571,2.6,179,Very Bad,32.82,4
387,6.71,0.4963249171,4.2,92,Medium,31.01,1
388,5.24,0.416,5.833333333,102,Medium,31.25,2
389,0,0.7083333333,2.333333333,172,Medium,35.82,4
390,5.27,0.4145284117,3.25,167,Medium,32.7,4
391,2.08,0.580952381,1,106,Medium,31.83,2
392,8.86,0.5239766082,4.142857143,88,Medium,32.47,4
393,0,0.6263888889,1,104,Very Bad,26.55,1
394,5.69,0.4548148148,2.5625,122,Medium,40.98,2
395,0,0.6528517189,2,157,Very Bad,32.08,1
396,0,0.488610943,1.4,101,Good,30.12,4
397,8.21,0.3625666931,3.647058824,98,Medium,30.35,4
398,1.94,0.49,1.615384615,81,Very Bad,26.78,4
399,0,0,0,117,Medium,46.29,2
400,0.87,0.6649631867,1,113,Medium,26.62,0
401,5.22,0.6366666667,2,139,Medium,30.16,1
402,1.46,0.5318745689,0,101,Medium,29.64,1
403,8.05,0.4473484848,1.724137931,194,Medium,30.03,4
404,4.62,0.4823180923,2.272727273,79,Medium,41.68,3
405,0,0.6333333333,1,87,Medium,29.3,2
406,3.83,0.5509803922,2,157,Medium,31.35,2
407,7.74,0.5605263158,3,118,Medium,29.64,3
408,0,0.4604166667,3.538461538,112,Medium,28.3,4
409,2.5,0.6266666667,1.4,75,Medium,27.92,4
410,0,0.4930555556,1.6,1828,Medium,82.02,0
411,5.8,0.4931089744,1.920634921,101,Medium,33.66,2
412,3.36,0.3622673646,3.285714286,185,Medium,31.54,4
413,5.94,0.2866495615,4.294117647,150,Good,34.54,2
414,0,0.6,2,78,Very Bad,23.5,4
415,1.98,0.4388802034,2,114,Good,32.32,3
416,3.46,0.58,2.666666667,143,Medium,36.71,2
417,2.91,0.5403100775,2.5,138,Medium,41.62,1
418,0.29,0.5333333333,3.333333333,181,Medium,52.49,2
419,7.12,0.4922619048,2.166666667,80,Medium,28.94,3
420,8.43,0.4763157895,2.181818182,100,Medium,30.62,4
421,4.65,0.3974221141,5.857142857,106,Medium,33.95,1
422,0.43,0.6433333333,3,106,Very Bad,29.63,4
423,6.52,0.4384615385,3,100,Medium,32.45,3
424,0,0.5685185185,2,257,Good,36.18,4
425,3.16,0.5336309524,2.9375,131,Medium,31.63,4
426,?,0.3540485043,4.2,121,Medium,30.54,4
427,4.68,0.4239856378,3.375,168,Medium,29.09,2
428,7.58,0.4295454545,2.307692308,127,Medium,33.52,3
429,4,0.4059087619,2.666666667,97,Bad,38.09,0
430,6.76,0.5289215686,2.941176471,114,Medium,48.77,4
431,0,0,0,81,Very Bad,15.45,3
432,2.73,0.6777777778,4.5,138,Medium,33.17,4
433,0,0.5223590676,6.833333333,99,Good,28.58,3
434,5.89,0.5462962963,2.2,89,Medium,29.68,4
435,5.2,0.4709803922,1.575,147,Medium,40.63,1
436,8,0.44,2.2,78,Good,26.19,1
437,5.81,0.4107468722,3.642857143,135,Medium,33.98,3
438,1.6,0.5,2.25,109,Medium,32.97,3
439,0,0.653125,2,160,Bad,30.61,1
440,3.04,0.56,2,95,Good,29.28,4
441,1.67,0.65,0,100,Very Bad,26.43,3
442,0,0.3676793909,2,132,Medium,31.23,2
443,4.18,0.4634615385,3.5,101,Bad,25.52,4
444,2.76,0.5313131313,1.611111111,80,Medium,27.68,4
445,5.88,0.3332472891,5.75,95,Bad,26.89,4
446,0,0.6416666667,5,82,Good,27.44,4
447,3.97,0.5410660676,1.6,74,Medium,24.56,3
448,6.47,0.5966666667,0,101,Bad,25.03,1
449,4.91,0.6112820513,5.071428571,136,Good,32.57,4
450,0,0.6333333333,0,80,Medium,29.01,1
451,2.38,0.4610014023,1,85,Good,28.43,3
452,0,0.6575268817,2,295,Medium,35.33,0
453,1.32,0.5878787879,1.5,78,Bad,31.26,3
454,4.32,0.5365591398,1.740740741,150,Medium,31.65,4
455,1.5,0.3921383812,2.285714286,105,Medium,32.03,2
456,1.88,0.225,1.5,91,Bad,30.68,2
457,4.88,0.5494740876,2.125,179,Medium,55.93,2
458,0,0.4230361843,4,71,Medium,28.44,4
459,7.12,0.6217948718,2.25,191,Medium,30.26,0
460,0,0.6583333333,1.333333333,84,Very Bad,22.46,4
461,8.5,0.3123698128,2,82,Medium,30.36,3
462,4.01,0.3194448232,2.448275862,129,Medium,34.32,2
463,0,0.5630952381,0,78,Medium,28.14,1
464,4.03,0.3433347118,2.769230769,178,Good,38.04,1
465,0.62,0.5972222222,0,128,Medium,34.74,2
466,1.94,0.6131578947,1,73,Medium,30.87,2
467,0,0.6682291667,3.75,166,Medium,45.43,0
468,5.71,0.6273809524,2,90,Medium,30.79,2
469,0,0.4198825335,7.260869565,133,Medium,33.79,2
470,2.17,0.5511904762,1.25,77,Medium,29.28,1
471,5.56,0.575,2.2,72,Medium,37.72,2
472,0,0.2883352156,7,91,Medium,35.12,2
473,0,0.65,7,85,Bad,31.61,3
474,2.94,0.4773809524,15.23076923,246,Medium,38.87,4
475,0,0.61,0,94,Medium,32.21,4
476,0,0.6016666667,0,134,Medium,32.71,3
477,0,0.6104166667,1,88,Medium,32.01,1
478,0,0.6119047619,1,69,Medium,28.1,3
479,0,0.575,1.25,81,Medium,31.37,0
480,7.05,0.528125,3,119,Good,30.06,0
481,5.74,0.5921052632,1,101,Good,31.5,2
482,0,0.514168152,6.375,256,Medium,29.91,4
483,5.58,0.5028169014,2.363636364,120,Medium,38.06,4
484,4.21,0.6440860215,1,120,Good,41.73,3
485,2.5,0.2637681159,1.428571429,127,Medium,32.22,2
486,?,0.6291666667,3.333333333,91,Good,28.34,0
487,4.44,0.5733333333,9,118,Good,31.97,4
488,0,0.6313926861,1.111111111,65,Medium,27.99,1
489,0,0.8788739378,0,112,Medium,39.62,0
490,0,0.548015873,2.133333333,124,Medium,32.58,3
491,0,0.5833333333,0,104,Medium,31.6,1
492,7.89,0.5883333333,10,63,Medium,28.91,2
493,5.6,0.5433333333,3.761904762,220,Medium,35.94,3
494,3.18,0.5560606061,0,89,Very Bad,19.73,4
495,0,0.5666666667,0,193,Bad,41.4,0
496,5.68,0.5433333333,2.5,120,Medium,35.97,2
497,0,0.6060606061,2.4,79,Medium,29.82,2
498,0,0.6444444444,3,116,Very Bad,29.32,3
499,0.26,0.4954108759,2,130,Medium,32.36,0
500,0,0.5477777778,0,185,Medium,34.22,1